"arc_length","p_element"
0,nan
0.048,105.802
0.096,105.802
0.144,105.802
0.192,105.802
0.24,105.802
0.288,105.802
0.336,105.802
0.384,105.802
0.432,105.802
0.48,105.802
0.528,105.802
0.576,105.802
0.624,105.802
0.672,105.802
0.72,105.802
0.768,105.802
0.816,105.802
0.864,105.802
0.912,105.802
0.96,105.802
1.008,105.802
1.056,105.802
1.104,105.802
1.152,105.802
1.2,105.802
1.248,105.802
1.296,105.802
1.344,105.802
1.392,105.802
1.44,105.802
1.488,105.802
1.536,-64.7588
1.584,-64.7588
1.632,-64.7588
1.68,-64.7588
1.728,-64.7588
1.776,-64.7588
1.824,-64.7588
1.872,-64.7588
1.92,-64.7588
1.968,-64.7588
2.016,-64.7588
2.064,-64.7588
2.112,-64.7588
2.16,-64.7588
2.208,-64.7588
2.256,-64.7588
2.304,-64.7588
2.352,-64.7588
2.4,-64.7588
2.448,-64.7588
2.496,-64.7588
2.544,-64.7588
2.592,-64.7588
2.64,-64.7588
2.688,-64.7588
2.736,-64.7588
2.784,-64.7588
2.832,-64.7588
2.88,-64.7588
2.928,-64.7588
2.976,-64.7588
3.024,-284.802
3.072,-284.802
3.12,-284.802
3.168,-284.802
3.216,-284.802
3.264,-284.802
3.312,-284.802
3.36,-284.802
3.408,-284.802
3.456,-284.802
3.504,-284.802
3.552,-284.802
3.6,-284.802
3.648,-284.802
3.696,-284.802
3.744,-284.802
3.792,-284.802
3.84,-284.802
3.888,-284.802
3.936,-284.802
3.984,-284.802
4.032,-284.802
4.08,-284.802
4.128,-284.802
4.176,-284.802
4.224,-284.802
4.272,-284.802
4.32,-284.802
4.368,-284.802
4.416,-284.802
4.464,-284.802
4.512,-367.463
4.56,-367.463
4.608,-367.463
4.656,-367.463
4.704,-367.463
4.752,-367.463
4.8,-367.463
4.848,-367.463
4.896,-367.463
4.944,-367.463
4.992,-367.463
5.04,-367.463
5.088,-367.463
5.136,-367.463
5.184,-367.463
5.232,-367.463
5.28,-367.463
5.328,-367.463
5.376,-367.463
5.424,-367.463
5.472,-367.463
5.52,-367.463
5.568,-367.463
5.616,-367.463
5.664,-367.463
5.712,-367.463
5.76,-367.463
5.808,-367.463
5.856,-367.463
5.904,-367.463
5.952,-367.463
6,-367.463
6.048,-377.672
6.096,-377.672
6.144,-377.672
6.192,-377.672
6.24,-377.672
6.288,-377.672
6.336,-377.672
6.384,-377.672
6.432,-377.672
6.48,-377.672
6.528,-377.672
6.576,-377.672
6.624,-377.672
6.672,-377.672
6.72,-377.672
6.768,-377.672
6.816,-377.672
6.864,-377.672
6.912,-377.672
6.96,-377.672
7.008,-377.672
7.056,-377.672
7.104,-377.672
7.152,-377.672
7.2,-377.672
7.248,-377.672
7.296,-377.672
7.344,-377.672
7.392,-377.672
7.44,-377.672
7.488,-377.672
7.536,-264.796
7.584,-264.796
7.632,-264.796
7.68,-264.796
7.728,-264.796
7.776,-264.796
7.824,-264.796
7.872,-264.796
7.92,-264.796
7.968,-264.796
8.016,-264.796
8.064,-264.796
8.112,-264.796
8.16,-264.796
8.208,-264.796
8.256,-264.796
8.304,-264.796
8.352,-264.796
8.4,-264.796
8.448,-264.796
8.496,-264.796
8.544,-264.796
8.592,-264.796
8.64,-264.796
8.688,-264.796
8.736,-264.796
8.784,-264.796
8.832,-264.796
8.88,-264.796
8.928,-264.796
8.976,-264.796
9.024,-144.772
9.072,-144.772
9.12,-144.772
9.168,-144.772
9.216,-144.772
9.264,-144.772
9.312,-144.772
9.36,-144.772
9.408,-144.772
9.456,-144.772
9.504,-144.772
9.552,-144.772
9.6,-144.772
9.648,-144.772
9.696,-144.772
9.744,-144.772
9.792,-144.772
9.84,-144.772
9.888,-144.772
9.936,-144.772
9.984,-144.772
10.032,-144.772
10.08,-144.772
10.128,-144.772
10.176,-144.772
10.224,-144.772
10.272,-144.772
10.32,-144.772
10.368,-144.772
10.416,-144.772
10.464,-144.772
10.512,-139.08
10.56,-139.08
10.608,-139.08
10.656,-139.08
10.704,-139.08
10.752,-139.08
10.8,-139.08
10.848,-139.08
10.896,-139.08
10.944,-139.08
10.992,-139.08
11.04,-139.08
11.088,-139.08
11.136,-139.08
11.184,-139.08
11.232,-139.08
11.28,-139.08
11.328,-139.08
11.376,-139.08
11.424,-139.08
11.472,-139.08
11.52,-139.08
11.568,-139.08
11.616,-139.08
11.664,-139.08
11.712,-139.08
11.76,-139.08
11.808,-139.08
11.856,-139.08
11.904,-139.08
11.952,-139.08
12,-139.08
12.048,-48.0676
12.096,-48.0676
12.144,-48.0676
12.192,-48.0676
12.24,-48.0676
12.288,-48.0676
12.336,-48.0676
12.384,-48.0676
12.432,-48.0676
12.48,-48.0676
12.528,-48.0676
12.576,-48.0676
12.624,-48.0676
12.672,-48.0676
12.72,-48.0676
12.768,-48.0676
12.816,-48.0676
12.864,-48.0676
12.912,-48.0676
12.96,-48.0676
13.008,-48.0676
13.056,-48.0676
13.104,-48.0676
13.152,-48.0676
13.2,-48.0676
13.248,-48.0676
13.296,-48.0676
13.344,-48.0676
13.392,-48.0676
13.44,-48.0676
13.488,-48.0676
13.536,59.7491
13.584,59.7491
13.632,59.7491
